Line,Item Description,Part Number / SKU,Qty,UOM,Unit Price,Required By,Notes
1,M8 Stainless Steel Hex Bolt A2-70,HEX-M8-A270-SS,500,units,0.42,14 Mar 2026,Attercliffe site - loading bay 3
2,EN24T Precision Ground Steel Bar 50mm dia,STL-EN24T-50RD,200,metres,28.50,28 Mar 2026,"Rotherham unit, 3.1 cert required, BS EN 10204"
3,Blue Widget 10-Pack,WDG-BLU-10,50,cases,24.99,21 Mar 2026,
4,Red Gadget,,,20,each,,No part number - check catalogue
5,Green Sprocket,SPR-100,10,boxes,45.00,21 Mar 2026,Need the premium version not standard
6,Copper Fastener 250-Count Bag,CF-250,100,bags,8.75,14 Mar 2026,
7,Rubber Seal (heavy duty?),,,30,each,,Unsure on exact size - call to confirm
8,6205-2RS Deep Groove Ball Bearing,BRG-6205-2RS,75,units,4.80,07 Mar 2026,Sealed both sides
9,Flux Capacitor,FLX-???,5,units,,,Cannot read supplier ref - see attached note
10,Nylon Washer M10 100-pack,NW-M10-100,40,packs,6.25,21 Mar 2026,
